Iteration,Library,Pattern,Transport,MsgSize,Metric,Value
1,zlink,PAIR,tcp,64,throughput,1833254.50
1,zlink,PAIR,tcp,64,latency,12.07
1,libzmq,PAIR,tcp,64,throughput,3708724.22
1,libzmq,PAIR,tcp,64,latency,12.54
2,zlink,PAIR,tcp,64,throughput,3263984.54
2,zlink,PAIR,tcp,64,latency,13.89
2,libzmq,PAIR,tcp,64,throughput,2210044.87
2,libzmq,PAIR,tcp,64,latency,11.61
3,zlink,PAIR,tcp,64,throughput,3294464.15
3,zlink,PAIR,tcp,64,latency,13.17
3,libzmq,PAIR,tcp,64,throughput,3713337.75
3,libzmq,PAIR,tcp,64,latency,13.81
4,zlink,PAIR,tcp,64,throughput,3368506.15
4,zlink,PAIR,tcp,64,latency,13.22
4,libzmq,PAIR,tcp,64,throughput,3704327.95
4,libzmq,PAIR,tcp,64,latency,13.59
5,zlink,PAIR,tcp,64,throughput,3308979.25
5,zlink,PAIR,tcp,64,latency,13.80
5,libzmq,PAIR,tcp,64,throughput,1981687.23
5,libzmq,PAIR,tcp,64,latency,11.54
6,zlink,PAIR,tcp,64,throughput,3384180.65
6,zlink,PAIR,tcp,64,latency,11.84
6,libzmq,PAIR,tcp,64,throughput,2009779.59
6,libzmq,PAIR,tcp,64,latency,11.55
7,zlink,PAIR,tcp,64,throughput,3393448.27
7,zlink,PAIR,tcp,64,latency,13.10
7,libzmq,PAIR,tcp,64,throughput,2176636.20
7,libzmq,PAIR,tcp,64,latency,11.47
8,zlink,PAIR,tcp,64,throughput,3493278.93
8,zlink,PAIR,tcp,64,latency,13.09
8,libzmq,PAIR,tcp,64,throughput,2047087.10
8,libzmq,PAIR,tcp,64,latency,11.65
9,zlink,PAIR,tcp,64,throughput,3361773.94
9,zlink,PAIR,tcp,64,latency,13.92
9,libzmq,PAIR,tcp,64,throughput,3739841.66
9,libzmq,PAIR,tcp,64,latency,13.54
10,zlink,PAIR,tcp,64,throughput,1958760.26
10,zlink,PAIR,tcp,64,latency,11.02
10,libzmq,PAIR,tcp,64,throughput,3722703.28
10,libzmq,PAIR,tcp,64,latency,13.46
1,zlink,PAIR,tcp,1024,throughput,875649.07
1,zlink,PAIR,tcp,1024,latency,13.63
1,libzmq,PAIR,tcp,1024,throughput,898559.38
1,libzmq,PAIR,tcp,1024,latency,11.33
2,zlink,PAIR,tcp,1024,throughput,930069.04
2,zlink,PAIR,tcp,1024,latency,13.44
2,libzmq,PAIR,tcp,1024,throughput,972965.66
2,libzmq,PAIR,tcp,1024,latency,12.68
3,zlink,PAIR,tcp,1024,throughput,928263.34
3,zlink,PAIR,tcp,1024,latency,13.50
3,libzmq,PAIR,tcp,1024,throughput,739267.95
3,libzmq,PAIR,tcp,1024,latency,11.26
4,zlink,PAIR,tcp,1024,throughput,956865.92
4,zlink,PAIR,tcp,1024,latency,12.60
4,libzmq,PAIR,tcp,1024,throughput,769430.82
4,libzmq,PAIR,tcp,1024,latency,11.07
5,zlink,PAIR,tcp,1024,throughput,933566.48
5,zlink,PAIR,tcp,1024,latency,12.75
5,libzmq,PAIR,tcp,1024,throughput,947470.80
5,libzmq,PAIR,tcp,1024,latency,14.22
6,zlink,PAIR,tcp,1024,throughput,944942.46
6,zlink,PAIR,tcp,1024,latency,12.77
6,libzmq,PAIR,tcp,1024,throughput,923386.61
6,libzmq,PAIR,tcp,1024,latency,11.42
7,zlink,PAIR,tcp,1024,throughput,945616.19
7,zlink,PAIR,tcp,1024,latency,12.69
7,libzmq,PAIR,tcp,1024,throughput,910453.69
7,libzmq,PAIR,tcp,1024,latency,11.88
8,zlink,PAIR,tcp,1024,throughput,942342.76
8,zlink,PAIR,tcp,1024,latency,12.94
8,libzmq,PAIR,tcp,1024,throughput,983071.51
8,libzmq,PAIR,tcp,1024,latency,12.67
9,zlink,PAIR,tcp,1024,throughput,955231.18
9,zlink,PAIR,tcp,1024,latency,12.99
9,libzmq,PAIR,tcp,1024,throughput,931827.07
9,libzmq,PAIR,tcp,1024,latency,11.77
10,zlink,PAIR,tcp,1024,throughput,888449.40
10,zlink,PAIR,tcp,1024,latency,11.26
10,libzmq,PAIR,tcp,1024,throughput,979234.84
