Iteration,Pattern,Transport,MsgSize,Metric,Value
1,PAIR,tcp,64,throughput,4635681.77
1,PAIR,tcp,64,latency,26.86
2,PAIR,tcp,64,throughput,4232302.63
2,PAIR,tcp,64,latency,26.28
3,PAIR,tcp,64,throughput,4351704.78
3,PAIR,tcp,64,latency,35.04
4,PAIR,tcp,64,throughput,4712579.76
4,PAIR,tcp,64,latency,30.11
5,PAIR,tcp,64,throughput,4319673.09
5,PAIR,tcp,64,latency,26.00
6,PAIR,tcp,64,throughput,4696202.65
6,PAIR,tcp,64,latency,29.31
7,PAIR,tcp,64,throughput,4664625.12
7,PAIR,tcp,64,latency,28.79
8,PAIR,tcp,64,throughput,4824799.47
8,PAIR,tcp,64,latency,27.18
9,PAIR,tcp,64,throughput,4735577.21
9,PAIR,tcp,64,latency,29.44
10,PAIR,tcp,64,throughput,4541295.13
10,PAIR,tcp,64,latency,27.11
1,PAIR,tcp,1024,throughput,713064.85
1,PAIR,tcp,1024,latency,35.95
2,PAIR,tcp,1024,throughput,653134.80
2,PAIR,tcp,1024,latency,28.18
3,PAIR,tcp,1024,throughput,696599.55
3,PAIR,tcp,1024,latency,29.45
4,PAIR,tcp,1024,throughput,676170.93
4,PAIR,tcp,1024,latency,34.86
5,PAIR,tcp,1024,throughput,625598.82
5,PAIR,tcp,1024,latency,31.28
6,PAIR,tcp,1024,throughput,674599.51
6,PAIR,tcp,1024,latency,30.58
7,PAIR,tcp,1024,throughput,659514.89
7,PAIR,tcp,1024,latency,33.66
8,PAIR,tcp,1024,throughput,674716.94
8,PAIR,tcp,1024,latency,27.19
9,PAIR,tcp,1024,throughput,639375.56
9,PAIR,tcp,1024,latency,37.30
10,PAIR,tcp,1024,throughput,675867.02
10,PAIR,tcp,1024,latency,32.52
1,PUBSUB,tcp,64,throughput,4510020.14
1,PUBSUB,tcp,64,latency,0.22
2,PUBSUB,tcp,64,throughput,4471492.00
2,PUBSUB,tcp,64,latency,0.22
3,PUBSUB,tcp,64,throughput,4578869.89
3,PUBSUB,tcp,64,latency,0.22
4,PUBSUB,tcp,64,throughput,4437137.96
4,PUBSUB,tcp,64,latency,0.23
5,PUBSUB,tcp,64,throughput,4200877.56
5,PUBSUB,tcp,64,latency,0.24
6,PUBSUB,tcp,64,throughput,4719006.74
6,PUBSUB,tcp,64,latency,0.21
7,PUBSUB,tcp,64,throughput,4792887.36
7,PUBSUB,tcp,64,latency,0.21
8,PUBSUB,tcp,64,throughput,4262256.65
8,PUBSUB,tcp,64,latency,0.23
9,PUBSUB,tcp,64,throughput,4677301.29
9,PUBSUB,tcp,64,latency,0.21
10,PUBSUB,tcp,64,throughput,4251899.54
10,PUBSUB,tcp,64,latency,0.24
1,PUBSUB,tcp,1024,throughput,673188.74
1,PUBSUB,tcp,1024,latency,1.49
2,PUBSUB,tcp,1024,throughput,719777.88
2,PUBSUB,tcp,1024,latency,1.39
3,PUBSUB,tcp,1024,throughput,721870.51
3,PUBSUB,tcp,1024,latency,1.39
4,PUBSUB,tcp,1024,throughput,657237.28
4,PUBSUB,tcp,1024,latency,1.52
5,PUBSUB,tcp,1024,throughput,701235.47
5,PUBSUB,tcp,1024,latency,1.43
6,PUBSUB,tcp,1024,throughput,722969.09
