lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
cpp	single	tcp	PAIR	64	1391251.400	1119331.400	80.5	0.199198	0.131170	0.66	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PAIR	256	1140157.600	973516.200	85.4	1.903540	2.101969	1.10	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PAIR	1024	720409.200	706562.400	98.1	1.070945	1.054144	0.98	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PAIR	65536	38459.200	39202.400	101.9	0.539648	0.348085	0.65	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PAIR	131072	25923.000	25763.000	99.4	0.266792	0.269022	1.01	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PAIR	262144	15913.600	15598.600	98.0	0.238086	0.244347	1.03	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	64	1209185.000	971683.600	80.4	0.131547	0.105217	0.80	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	256	1015445.600	868439.200	85.5	1.270340	1.290937	1.02	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	1024	633779.200	657591.000	103.8	0.714942	0.689958	0.97	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	65536	12605.600	12351.000	98.0	0.241439	0.247990	1.03	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	131072	5868.600	5869.400	100.0	0.233668	0.225530	0.97	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	PUBSUB	262144	2469.000	2458.000	99.6	0.222556	0.231617	1.04	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
cpp	single	tcp	DEALER_DEALER	64	1234279.600	1081060.200	87.6	62.985620	0.482038	0.01	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_085139_c0174-cpp-single-tcp.txt	bindings/cpp/perf/results/single/report/perf_cpp_single_linux_20260909_085533_c0174-cpp-single-tcp.txt	c0174-cpp-single-tcp
