lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	283454.600	262978.400	92.8	0.808304	1.208384	1.49	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	240086.800	198064.200	82.5	0.931847	1.488751	1.60	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	249836.000	195868.800	78.4	1.321046	1.586022	1.20	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	169708.600	151109.000	89.0	1.625518	2.987741	1.84	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	32939.200	25756.800	78.2	58.553864	40.526929	0.69	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	16250.400	16393.600	100.9	55.174213	22.891397	0.41	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	180564.200	66.3	0.857457	1.076512	1.26	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	170105.600	102.1	1.196261	1.297838	1.08	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	161674.200	92.7	1.022112	1.364120	1.33	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	129082.800	94.9	1.563200	60.512909	38.71	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	65536	26151.600	24136.400	92.3	114.226037	95.826634	0.84	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	131072	18359.000	8631.400	47.0	26.619696	532.426821	20.00	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	64	201388.200	155004.800	77.0	0.881029	0.743524	0.84	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	256	147858.400	119953.200	81.1	1.205935	0.965644	0.80	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	1024	136421.400	113754.800	83.4	1.434119	0.935348	0.65	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	4096	111944.000	101524.200	90.7	1.782112	1.189774	0.67	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	65536	20085.000	17309.200	86.2	2.996607	29.531667	9.86	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	131072	13235.400	13108.000	99.0	4.364249	40.646397	9.31	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	64	145993.600	137755.200	94.4	0.993190	0.689587	0.69	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
cpp	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	256	124417.400	99371.200	79.9	1.222691	0.950150	0.78	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260910_051713_c0175-cpp-rebaseline.txt	c0175-cpp-multi-rebaseline
