lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
cpp	multi	tcp	MULTI_DEALER_DEALER	64	721397.600	990313.200	137.3	36.613510	0.314376	0.01	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_DEALER	256	525432.400	884109.000	168.3	4.414705	1.496480	0.34	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_DEALER	1024	318368.600	871685.800	273.8	185.684818	0.989852	0.01	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_DEALER	4096	136519.000	345277.800	252.9	1264.384759	582.259720	0.46	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_DEALER	65536	25478.600	81561.400	320.1	52.835135	19.672987	0.37	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_DEALER	131072	27167.800	39842.400	146.7	22.782785	126.912127	5.57	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	64	112628.200	134954.800	119.8	3.254570	0.946604	0.29	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	256	113998.000	102056.800	89.5	3.098294	1.117424	0.36	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	1024	74581.000	115400.400	154.7	3.088277	0.985917	0.32	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
cpp	multi	tcp	MULTI_DEALER_ROUTER_REQREP	4096	60519.200	98037.000	162.0	4.276013	1.336421	0.31	complete/clients=100	complete/clients=100	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_104543_c0174-cpp-multi-tcp.txt;bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_105312_c0174-cpp-multi-tcp.txt	bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_104927_c0174-cpp-multi-tcp.txt;bindings/cpp/perf/results/multi/report/perf_cpp_multi_linux_20260909_105342_c0174-cpp-multi-tcp.txt	c0174-cpp-multi-tcp
