lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	283454.600	140111.000	49.4	0.808304	1.619862	2.00	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	240086.800	140528.000	58.5	0.931847	1.338383	1.44	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	249836.000	130336.600	52.2	1.321046	2.255837	1.71	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	169708.600	120429.000	71.0	1.625518	1.556527	0.96	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	32939.200	26750.000	81.2	58.553864	52.005856	0.89	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	16250.400	9826.200	60.5	55.174213	550.614302	9.98	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	146299.600	53.7	0.857457	1.328685	1.55	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	117176.400	70.3	1.196261	1.010212	0.84	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	122502.600	70.3	1.022112	1.176081	1.15	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	95885.800	70.5	1.563200	1.271842	0.81	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
dotnet	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	65536	26151.600	29361.400	112.3	114.226037	64.893970	0.57	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260910_055148_c0175-dotnet-rebaseline.txt	c0175-dotnet-multi-rebaseline
