lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
dotnet	multi	tcp	MULTI_DEALER_DEALER	64	884937.000	305160.800	34.5	3.680508	1.790387	0.49	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	tcp	MULTI_DEALER_DEALER	256	731350.600	326609.000	44.7	2.880589	1.593733	0.55	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	tcp	MULTI_DEALER_DEALER	1024	449595.000	246724.400	54.9	110.113638	686.539281	6.23	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	tcp	MULTI_DEALER_DEALER	4096	174944.000	127559.800	72.9	901.551639	668.692498	0.74	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	tcp	MULTI_DEALER_DEALER	65536	42299.400	33787.200	79.9	29.451787	12.193842	0.41	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	tcp	MULTI_DEALER_DEALER	131072	26835.000	24729.200	92.2	22.163474	8.540154	0.39	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	64	821536.200	347408.000	42.3	160.902774	0.983661	0.01	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	256	716478.800	299875.400	41.9	1.529743	2.620107	1.71	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	1024	639218.800	238511.200	37.3	1.180660	1253.914008	1062.04	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	4096	182304.400	173754.400	95.3	1434.457837	443.650270	0.31	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	65536	34600.600	24692.400	71.4	52.143179	17.753846	0.34	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	ws	MULTI_DEALER_DEALER	131072	14137.400	13951.000	98.7	47.174572	16.335603	0.35	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	wss	MULTI_DEALER_DEALER	64	753364.000	341834.400	45.4	62.921630	1.828043	0.03	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	wss	MULTI_DEALER_DEALER	256	628434.600	309548.200	49.3	3.674476	2.102916	0.57	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	wss	MULTI_DEALER_DEALER	1024	473538.600	338122.800	71.4	6.394378	586.548521	91.73	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	wss	MULTI_DEALER_DEALER	4096	218186.800	199050.200	91.2	126.017365	247.262462	1.96	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
dotnet	multi	wss	MULTI_DEALER_DEALER	65536	16986.600	12895.600	75.9	119.979628	30.371555	0.25	complete/clients=100	complete/clients=100;core_meta_missing	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_125355_c0175-dotnet-multi.txt	bindings/dotnet/perf/results/multi/report/perf_dotnet_multi_linux_20260909_131216_c0175-dotnet-multi.txt	c0175-dotnet-multi
