lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
dotnet	single	tcp	PAIR	64	1517030.800	654695.400	43.2	0.259821	0.248183	0.96	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PAIR	256	1194444.600	594971.800	49.8	1.816179	0.195889	0.11	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PAIR	1024	729113.000	555638.200	76.2	1.051166	0.251274	0.24	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PAIR	65536	40438.600	57296.000	141.7	0.336449	0.308036	0.92	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PAIR	131072	26524.000	32091.600	121.0	0.259297	0.262479	1.01	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PAIR	262144	15891.800	17402.000	109.5	0.239386	0.245473	1.03	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	64	1235161.200	585371.800	47.4	0.139837	0.666278	4.76	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	256	1047117.000	537464.200	51.3	1.221480	0.235255	0.19	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	1024	632716.000	543676.400	85.9	0.734890	0.348766	0.47	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	65536	12671.400	27248.800	215.0	0.224688	0.332121	1.48	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	131072	5899.800	11682.400	198.0	0.210107	0.266869	1.27	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	PUBSUB	262144	2497.200	4273.800	171.1	0.204245	0.279161	1.37	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	DEALER_DEALER	64	1290158.400	551936.600	42.8	60.221232	8.346140	0.14	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	DEALER_DEALER	256	1142905.600	518179.200	45.3	1.947711	0.356959	0.18	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
dotnet	single	tcp	DEALER_DEALER	1024	784760.400	506658.800	64.6	0.980827	0.330625	0.34	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_114213_c0175-dotnet-single-tcp.txt	bindings/dotnet/perf/results/single/report/perf_dotnet_single_linux_20260909_114639_c0175-dotnet-single-tcp.txt	c0175-dotnet-single-tcp
