lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	multi	tcp	MULTI_DEALER_DEALER	64	1231925.200	794778.000	64.5	0.879218	0.281497	0.32	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_DEALER_DEALER	256	1052287.600	715775.600	68.0	2.035729	0.309261	0.15	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_DEALER_DEALER	1024	916520.000	680887.600	74.3	1.246463	0.726087	0.58	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_DEALER_DEALER	4096	309633.000	152629.800	49.3	614.782912	1141.098778	1.86	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_DEALER_DEALER	65536	68030.600	23426.800	34.4	24.985407	5.345811	0.21	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_DEALER_DEALER	131072	34566.800	15262.000	44.2	18.043092	6.773471	0.38	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	236807.000	87.0	0.857457	1.757698	2.05	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	201416.600	120.9	1.196261	1.846005	1.54	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	171348.200	98.3	1.022112	2.378157	2.33	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	68372.600	50.2	1.563200	625.896164	400.39	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_012049_c0175-java-multi-move.txt	c0175-java-multi-move
