lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	283454.600	266392.600	94.0	0.808304	6.301854	7.80	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	240086.800	245999.000	102.5	0.931847	6.814845	7.31	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	249836.000	181773.600	72.8	1.321046	6.590922	4.99	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	169708.600	130153.600	76.7	1.625518	8.307436	5.11	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	32939.200	28585.200	86.8	58.553864	13.883809	0.24	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	16250.400	16176.400	99.5	55.174213	11.254934	0.20	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	270283.600	99.2	0.857457	1.903483	2.22	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	266095.600	159.7	1.196261	1.495266	1.25	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	259773.600	149.0	1.022112	1.879866	1.84	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
java	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	91167.800	67.0	1.563200	624.804960	399.70	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260910_054016_c0175-java-rebaseline.txt	c0175-java-multi-rebaseline
