lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	single	tcp	DEALER_ROUTER	64	1249164.600	973562.600	77.9	0.566837	1.338967	2.36	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	tcp	DEALER_ROUTER	256	1042892.600	910684.000	87.3	2.139249	2.253432	1.05	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	tcp	DEALER_ROUTER	1024	736938.600	799314.600	108.5	1.045138	1.582311	1.51	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	tcp	DEALER_ROUTER	65536	40426.400	63525.000	157.1	0.334266	0.302699	0.91	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	tcp	DEALER_ROUTER	131072	25497.600	35971.400	141.1	0.267010	0.275230	1.03	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	tcp	DEALER_ROUTER	262144	15645.800	18032.800	115.3	0.238031	0.240122	1.01	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	64	1163414.200	951425.200	81.8	72.357496	6.320201	0.09	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	256	1055960.600	835767.200	79.1	34.700588	2.103463	0.06	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	1024	729879.000	819082.000	112.2	13.693602	1.360215	0.10	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	65536	27915.600	35644.800	127.7	5.048809	0.538249	0.11	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	131072	16241.800	20851.600	128.4	4.624689	0.454968	0.10	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
java	single	ws	DEALER_ROUTER	262144	9514.400	10681.000	112.3	0.387333	0.427875	1.10	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260909_182834_c0175-java-single-r2.txt	c0175-java-single
