lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	multi	tcp	MULTI_DEALER_DEALER	64	1231925.200	291485.600	23.7	0.879218	226.268341	257.35	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_DEALER_DEALER	256	1052287.600	263860.000	25.1	2.035729	459.514801	225.72	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_DEALER_DEALER	1024	916520.000	254655.000	27.8	1.246463	830.874174	666.59	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_DEALER_DEALER	4096	309633.000	175821.000	56.8	614.782912	1058.776376	1.72	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_DEALER_DEALER	65536	68030.600	46822.800	68.8	24.985407	1.527061	0.06	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_DEALER_DEALER	131072	34566.800	25848.000	74.8	18.043092	8.591790	0.48	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	46842.000	17.2	0.857457	726.093600	846.80	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	33653.000	20.2	1.196261	794.418174	664.08	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	33418.600	19.2	1.022112	745.927374	729.79	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	27256.600	20.0	1.563200	683.662183	437.35	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	65536	26151.600	11538.000	44.1	114.226037	48.031104	0.42	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	131072	18359.000	7589.800	41.3	26.619696	32.797214	1.23	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	64	145993.600	10267.600	7.0	0.993190	58.724534	59.13	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	256	124417.400	12655.800	10.2	1.222691	60.175378	49.22	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
node	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	1024	112957.600	9211.400	8.2	1.186952	57.901557	48.78	complete/clients=100	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_013039_c0175-node-multi-move.txt	c0175-node-multi-move
