lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	283454.600	68463.600	24.2	0.808304	650.353536	804.59	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	240086.800	50244.200	20.9	0.931847	689.331225	739.75	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	249836.000	46812.200	18.7	1.321046	662.767016	501.70	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	169708.600	35420.200	20.9	1.625518	590.313764	363.15	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	32939.200	19444.600	59.0	58.553864	34.098861	0.58	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	16250.400	11483.800	70.7	55.174213	9.951927	0.18	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	272333.200	75798.000	27.8	0.857457	299.180793	348.92	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	166611.800	63086.600	37.9	1.196261	356.527704	298.04	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	174346.600	57290.000	32.9	1.022112	353.516377	345.87	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	136066.800	51660.200	38.0	1.563200	322.979891	206.61	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	65536	26151.600	12662.800	48.4	114.226037	36.145283	0.32	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	131072	18359.000	7759.400	42.3	26.619696	32.070738	1.20	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
node	multi	tcp	MULTI_DEALER_ROUTER_REQREP	64	201388.200	44933.800	22.3	0.881029	23.980975	27.22	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_144442_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260910_053757_c0175-node-rebaseline.txt	c0175-node-multi-rebaseline
