lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	multi	tcp	MULTI_STREAM	64	213230.200	91352.800	42.84	0.234257	0.547083	2.335	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tcp	MULTI_STREAM	256	168146.600	82571.000	49.11	0.297130	0.604690	2.035	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tcp	MULTI_STREAM	1024	154392.000	65123.600	42.18	0.323576	0.767433	2.372	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tcp	MULTI_STREAM	65536	19847.800	16792.800	84.61	2.516989	2.974815	1.182	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	ws	MULTI_STREAM	64	171417.800	94498.800	55.13	0.291433	0.528912	1.815	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	ws	MULTI_STREAM	256	157593.200	82718.400	52.49	0.317035	0.603311	1.903	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	ws	MULTI_STREAM	1024	160300.200	61108.600	38.12	0.311656	0.817897	2.624	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	ws	MULTI_STREAM	65536	12154.400	14351.600	118.08	4.109237	3.479019	0.847	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	wss	MULTI_STREAM	64	157653.800	117085.600	74.27	0.316924	0.426594	1.346	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	wss	MULTI_STREAM	256	126603.400	83365.200	65.85	0.394674	0.599456	1.519	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	wss	MULTI_STREAM	1024	119494.000	49788.000	41.67	0.418191	1.003796	2.400	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	wss	MULTI_STREAM	65536	6078.800	7130.600	117.30	8.214857	7.002387	0.852	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tls	MULTI_STREAM	64	166850.400	106232.600	63.67	0.299496	0.470429	1.571	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tls	MULTI_STREAM	256	144139.200	63790.600	44.26	0.346675	0.783309	2.259	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tls	MULTI_STREAM	1024	127578.600	50460.600	39.55	0.391658	0.990492	2.529	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
node	multi	tls	MULTI_STREAM	65536	10811.600	10643.800	98.45	4.618563	4.691312	1.016	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260909_145938_c0175-java-multi.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260909_163429_c0175-node-stream2.txt	c0175-node-multi
