lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	single	tcp	PAIR	64	1465622.200	343775.400	23.5	0.141555	153.397876	1083.66	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	tcp	PAIR	256	1142308.000	302269.600	26.5	1.901260	104.691435	55.06	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	tcp	PAIR	1024	702094.000	247128.000	35.2	1.099144	42.505920	38.67	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	tcp	PAIR	65536	38898.400	62576.800	160.9	0.350636	0.450758	1.29	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	tcp	PAIR	131072	26076.200	32704.000	125.4	0.264251	0.370167	1.40	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	tcp	PAIR	262144	15719.600	16700.800	106.2	0.241300	0.320713	1.33	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	ws	PAIR	64	1312980.600	302312.000	23.0	62.394545	215.859030	3.46	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	ws	PAIR	256	1090886.400	280382.200	25.7	34.169502	123.621412	3.62	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	ws	PAIR	1024	756223.200	238057.000	31.5	13.146077	44.533489	3.39	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
node	single	ws	PAIR	65536	27227.400	44271.000	162.6	5.732261	0.462705	0.08	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260909_134649_c0175-java-single.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260909_155053_c0175-node-single.txt	c0175-node-single
