lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	64	172776.000	149587.000	86.6	2.945952	2.871746	0.97	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	256	163573.800	157461.000	96.3	2.955858	1.979613	0.67	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	1024	118206.000	127320.000	107.7	2.588357	3.954788	1.53	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	4096	61697.000	8271.800	13.4	1.615699	55.826490	34.55	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	65536	8490.200	3442.800	40.6	2.503609	21.650768	8.65	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_DEALER_ROUTER_REQREP	131072	4803.000	3031.400	63.1	8.570848	24.527399	2.86	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_ROUTER_ROUTER_REQREP	64	211824.600	154026.200	72.7	2.566937	2.106733	0.82	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_ROUTER_ROUTER_REQREP	256	148572.800	107266.600	72.2	3.255227	2.713254	0.83	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_ROUTER_ROUTER_REQREP	1024	112653.000	103074.000	91.5	3.082580	3.563414	1.16	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
java	multi	wss	MULTI_ROUTER_ROUTER_REQREP	4096	56555.200	57560.000	101.8	2.484745	37.847874	15.23	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_211044_c0180-multi-reqrep-wss.txt	bindings/java/perf/results/multi/report/perf_java_multi_linux_20260912_081210_c0180-java-multi-wss-reqrep2.txt	c0180-java-multi-wss-reqrep2
