lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	single	tcp	DEALER_ROUTER_REQREP	64	797950.600	134340.000	16.8	0.260433	0.287463	1.10	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	DEALER_ROUTER_REQREP	256	716051.800	121385.200	17.0	0.827661	0.334702	0.40	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	DEALER_ROUTER_REQREP	1024	224046.200	101803.400	45.4	4.891309	0.377830	0.08	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	DEALER_ROUTER_REQREP	65536	8318.600	3289.200	39.5	0.226877	0.596349	2.63	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	DEALER_ROUTER_REQREP	131072	6894.400	2950.000	42.8	0.274331	0.665189	2.42	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	DEALER_ROUTER_REQREP	262144	5340.600	2696.200	50.5	0.354265	0.728253	2.06	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	64	739521.800	141019.200	19.1	0.253672	0.358688	1.41	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	256	642279.400	137142.800	21.4	1.349180	0.368475	0.27	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	1024	227516.600	128431.800	56.4	35.712843	0.389729	0.01	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	65536	8383.600	3255.800	38.8	0.224975	0.603559	2.68	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	131072	6846.800	3042.400	44.4	0.275977	0.646239	2.34	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	tcp	ROUTER_ROUTER_REQREP	262144	5286.600	2643.600	50.0	0.357792	0.744276	2.08	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081516_c0180-java-single-tcp-reqrep2.txt	c0180-java-single-tcp-reqrep2
java	single	inproc	DEALER_ROUTER_REQREP	64	733895.400	132740.800	18.1	0.126999	0.095481	0.75	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_031422_c0180-node-single-inproc.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081636_c0180-java-single-inproc-reqrep2.txt	c0180-java-single-inproc-reqrep2
java	single	inproc	DEALER_ROUTER_REQREP	256	752601.400	131173.800	17.4	0.140439	0.092276	0.66	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_031422_c0180-node-single-inproc.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260912_081636_c0180-java-single-inproc-reqrep2.txt	c0180-java-single-inproc-reqrep2
