lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
java	single	tcp	PAIR	64	2366247.200	1812454.200	76.6	1.363273	0.673785	0.49	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PAIR	256	1266561.400	1391530.600	109.9	1.822170	1.865347	1.02	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PAIR	1024	649821.800	971809.800	149.6	1.135589	1.046343	0.92	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PAIR	65536	41339.000	71378.800	172.7	0.326957	0.286478	0.88	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PAIR	131072	26627.800	39121.600	146.9	0.259109	0.233026	0.90	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PAIR	262144	16042.800	19345.600	120.6	0.235897	0.217903	0.92	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	64	1666371.400	1031108.600	61.9	1.275500	2.980159	2.34	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	256	1143518.000	871346.000	76.2	1.241952	2.495945	2.01	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	1024	652960.600	669234.000	102.5	0.685200	1.206106	1.76	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	65536	12588.000	12477.600	99.1	0.231601	0.337341	1.46	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	131072	5802.600	5814.800	100.2	0.215443	0.312624	1.45	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	PUBSUB	262144	2421.400	2475.800	102.2	0.220456	0.273067	1.24	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	DEALER_DEALER	64	2116423.000	1457211.400	68.9	50.738632	7.186191	0.14	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
java	single	tcp	DEALER_DEALER	256	1360582.200	1201937.400	88.3	1.726738	2.443564	1.42	complete (reused baseline)	partial (report; socket_reqrep_failed)	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/java/perf/results/single/report/perf_java_single_linux_20260911_122538_c0180-java-single-tcp.txt	c0180-java-single-tcp
