lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	378684.600	83325.200	22.0	0.657890	485.206680	737.52	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	310651.000	62647.400	20.2	0.871803	466.378128	534.96	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	278243.600	61372.200	22.1	0.897517	351.836169	392.01	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	223879.800	54305.600	24.3	38.740869	190.815891	4.93	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	30062.800	18657.200	62.1	71.343961	5.119061	0.07	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	18961.000	11815.600	62.3	49.103255	6.274457	0.13	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	350637.800	85238.400	24.3	0.656791	2.254204	3.43	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	260575.000	76697.600	29.4	0.815983	5.628820	6.90	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	240287.200	72798.600	30.3	0.790438	2.061164	2.61	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	190484.000	66496.000	34.9	2.503700	3.631358	1.45	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_152155_c0180-node-multi-sendsend-tcp.txt	c0180-node-multi-tcp
