lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	multi	tcp	MULTI_DEALER_DEALER	64	1884057.200	358075.600	19.0	0.243658	1278.603190	5247.53	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_DEALER	256	1028967.000	258539.800	25.1	156.144933	1189.883804	7.62	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_DEALER	1024	694922.800	236016.400	34.0	614.489058	1645.836706	2.68	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_DEALER	4096	402242.800	101529.000	25.2	46.442467	891.415556	19.19	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_DEALER	65536	66270.200	39749.800	60.0	131.468271	5.835861	0.04	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_DEALER	131072	35239.600	19587.800	55.6	18.581449	7.699566	0.41	complete	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_084714_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
node	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	NA	NA	NA	NA	NA	NA	complete	fail: multi routed send admission or echo drain timed out (echoes=516435, admissions=0)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/node/perf/results/multi/report/perf_node_multi_linux_20260911_085145_c0180-node-multi-tcp.txt	c0180-node-multi-tcp
