lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	single	tcp	PAIR	64	2366247.200	443345.000	18.7	1.363273	147.461413	108.17	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PAIR	256	1266561.400	345710.200	27.3	1.822170	106.139503	58.25	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PAIR	1024	649821.800	278935.600	42.9	1.135589	41.981772	36.97	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PAIR	65536	41339.000	66746.000	161.5	0.326957	0.430369	1.32	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PAIR	131072	26627.800	33952.600	127.5	0.259109	0.441007	1.70	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PAIR	262144	16042.800	17715.800	110.4	0.235897	0.307817	1.30	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PUBSUB	64	1666371.400	283051.000	17.0	1.275500	272.217435	213.42	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PUBSUB	256	1143518.000	266154.200	23.3	1.241952	145.362264	117.04	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PUBSUB	1024	652960.600	233256.400	35.7	0.685200	51.222420	74.76	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
node	single	tcp	PUBSUB	65536	12588.000	16409.200	130.4	0.231601	0.420192	1.81	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_063227_c0180-node-single-tcp-clean.txt	c0180-node-single-tcp-clean
