lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	single	tcp	DEALER_ROUTER	64	2100566.400	291946.400	13.9	1.300503	325.264124	250.11	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tcp	DEALER_ROUTER	256	1340891.800	263078.600	19.6	1.746338	154.692509	88.58	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tcp	DEALER_ROUTER	1024	718315.400	230868.000	32.1	1.037058	51.008644	49.19	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tcp	DEALER_ROUTER	65536	40833.600	61600.200	150.9	0.331304	0.516730	1.56	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tcp	DEALER_ROUTER	131072	26168.000	31289.400	119.6	0.260120	0.409683	1.57	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tcp	DEALER_ROUTER	262144	15943.800	16219.000	101.7	0.233618	0.329296	1.41	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080231_c0180-node-single-tcp-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_080625_c0180-node-single-tcp-lat3.txt	c0180-node-single-tcp-lat3
node	single	tls	DEALER_ROUTER	64	1985263.600	276852.200	13.9	2.041948	361.765381	177.17	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	tls	DEALER_ROUTER	256	956774.400	261609.000	27.3	2.388179	158.525166	66.38	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	tls	DEALER_ROUTER	1024	318859.400	228370.000	71.6	2.279196	52.517320	23.04	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	tls	DEALER_ROUTER	65536	12565.000	22148.400	176.3	0.994305	6.704867	6.74	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	tls	DEALER_ROUTER	131072	7357.400	12581.600	171.0	0.878298	5.845457	6.66	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	tls	DEALER_ROUTER	262144	4023.200	6411.200	159.4	0.876684	0.716322	0.82	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_080720_c0180-node-single-tls-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081105_c0180-node-single-tls-lat3.txt	c0180-node-single-tls-lat3
node	single	ipc	DEALER_ROUTER	64	2057794.800	311856.000	15.2	0.546878	83.845874	153.32	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_081202_c0180-node-single-ipc-lat3.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_081905_c0180-node-single-ipc-lat3.txt	c0180-node-single-ipc-lat3
