lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	single	tcp	DEALER_ROUTER_REQREP	64	797950.600	97474.800	12.2	0.260433	9.724644	37.34	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	DEALER_ROUTER_REQREP	256	716051.800	93573.200	13.1	0.827661	8.713418	10.53	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	DEALER_ROUTER_REQREP	1024	224046.200	83455.000	37.2	4.891309	6.830095	1.40	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	DEALER_ROUTER_REQREP	65536	8318.600	4429.800	53.3	0.226877	0.434902	1.92	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	DEALER_ROUTER_REQREP	131072	6894.400	3603.800	52.3	0.274331	0.533301	1.94	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	DEALER_ROUTER_REQREP	262144	5340.600	2764.400	51.8	0.354265	0.683389	1.93	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	64	739521.800	83896.000	11.3	0.253672	7.785404	30.69	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	256	642279.400	82088.200	12.8	1.349180	7.366910	5.46	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	1024	227516.600	72755.400	32.0	35.712843	5.305079	0.15	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	65536	8383.600	3801.800	45.3	0.224975	0.509960	2.27	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	131072	6846.800	3122.800	45.6	0.275977	0.613260	2.22	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	tcp	ROUTER_ROUTER_REQREP	262144	5286.600	2545.800	48.2	0.357792	0.751945	2.10	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145333_c0180-node-single-reqrep-tcp.txt	c0180-node-single-tcp
node	single	ws	DEALER_ROUTER_REQREP	64	472093.600	89342.800	18.9	30.145443	10.301727	0.34	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	DEALER_ROUTER_REQREP	256	318888.000	88294.400	27.7	50.034487	9.417045	0.19	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	DEALER_ROUTER_REQREP	1024	330370.200	84913.000	25.7	43.955262	6.916265	0.16	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	DEALER_ROUTER_REQREP	65536	7207.800	4117.600	57.1	0.263865	0.469379	1.78	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	DEALER_ROUTER_REQREP	131072	5773.800	3518.000	60.9	0.330397	0.545697	1.65	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	DEALER_ROUTER_REQREP	262144	4327.800	2686.800	62.1	0.442044	0.707210	1.60	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	ROUTER_ROUTER_REQREP	64	415298.600	85084.400	20.5	34.380490	6.607328	0.19	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
node	single	ws	ROUTER_ROUTER_REQREP	256	225288.200	83175.400	36.9	70.994670	6.102106	0.09	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_024658_c0180-node-single-ws.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_145457_c0180-node-single-reqrep-ws.txt	c0180-node-single-ws
