lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
node	single	tcp	DEALER_ROUTER	64	2105993.200	328266.000	15.6	2.044359	340.479234	166.55	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	DEALER_ROUTER	256	1280542.000	303623.800	23.7	1.817547	141.117438	77.64	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	DEALER_ROUTER	1024	701569.000	247054.800	35.2	1.060775	48.278290	45.51	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	DEALER_ROUTER	65536	40686.600	69063.800	169.7	0.333045	0.435140	1.31	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	DEALER_ROUTER	131072	26612.600	35872.000	134.8	0.255582	0.441155	1.73	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	DEALER_ROUTER	262144	15999.600	18078.200	113.0	0.233509	0.302165	1.29	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	ROUTER_ROUTER	64	1777788.200	289121.600	16.3	0.184484	115.315718	625.07	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	ROUTER_ROUTER	256	1189574.600	274061.600	23.0	31.110476	115.547361	3.71	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	ROUTER_ROUTER	1024	776168.400	241360.800	31.1	10.574790	49.254474	4.66	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
node	single	tcp	ROUTER_ROUTER	65536	39709.000	63518.000	160.0	0.340648	0.465003	1.37	complete	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/node/perf/results/single/report/perf_node_single_linux_20260911_074023_c0180-node-single-tcp-routed2.txt	c0180-node-single-tcp-routed2
