lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
rust	multi	tcp	MULTI_DEALER_DEALER	64	1884057.200	1390537.200	73.8	0.243658	0.260637	1.07	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_DEALER	256	1028967.000	965489.000	93.8	156.144933	1.976811	0.01	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_DEALER	1024	694922.800	575951.200	82.9	614.489058	105.813012	0.17	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_DEALER	4096	402242.800	392707.200	97.6	46.442467	47.521010	1.02	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_DEALER	65536	66270.200	63806.600	96.3	131.468271	19.369288	0.15	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_DEALER	131072	35239.600	36097.000	102.4	18.581449	17.629564	0.95	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	64	378684.600	382318.800	101.0	0.657890	1.073605	1.63	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023711_c0180-rust-multi-tcp-sendsend-fix.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	256	310651.000	319489.000	102.8	0.871803	358.601593	411.33	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	1024	278243.600	332755.000	119.6	0.897517	43.251055	48.19	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	4096	223879.800	187378.800	83.7	38.740869	189.554283	4.89	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	65536	30062.800	6356.000	21.1	71.343961	279.792952	3.92	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_DEALER_ROUTER_SENDSEND	131072	18961.000	12672.200	66.8	49.103255	586.217016	11.94	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	64	350637.800	320783.200	91.5	0.656791	0.981716	1.49	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023711_c0180-rust-multi-tcp-sendsend-fix.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	256	260575.000	81278.800	31.2	0.815983	375.252797	459.88	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	1024	240287.200	166661.600	69.4	0.790438	102.965000	130.26	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	4096	190484.000	95701.600	50.2	2.503700	365.326473	145.91	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	65536	34806.200	15566.000	44.7	36.225085	328.706569	9.07	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_ROUTER_ROUTER_SENDSEND	131072	19285.800	4090.600	21.2	55.592445	527.895538	9.50	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	64	1297279.200	1169303.200	90.1	1673.533148	1728.981474	1.03	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	256	1240671.200	1108765.400	89.4	1597.547190	1758.652790	1.10	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	1024	1173067.600	1065787.400	90.9	696.625843	814.933453	1.17	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	4096	774547.800	740900.000	95.7	171.394484	190.796605	1.11	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	65536	63637.600	73625.800	115.7	201.923098	141.627673	0.70	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_PUBSUB	131072	30970.200	31202.800	100.8	226.092363	169.161431	0.75	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083543_c0180-node-multi-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015425_c0180-rust-multi-tcp.txt	c0180-rust-multi-tcp
rust	multi	tcp	MULTI_STREAM	64	251086.400	182262.000	72.6	0.198997	0.274145	1.38	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083904_c0180-node-multi-tcp-stream.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_020628_c0180-rust-multi-tcp-stream.txt	c0180-rust-multi-tcp-stream
rust	multi	tcp	MULTI_STREAM	256	238582.200	162322.400	68.0	0.209398	0.307819	1.47	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083904_c0180-node-multi-tcp-stream.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_020628_c0180-rust-multi-tcp-stream.txt	c0180-rust-multi-tcp-stream
rust	multi	tcp	MULTI_STREAM	1024	237542.000	154957.400	65.2	0.210330	0.322467	1.53	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083904_c0180-node-multi-tcp-stream.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_020628_c0180-rust-multi-tcp-stream.txt	c0180-rust-multi-tcp-stream
rust	multi	tcp	MULTI_STREAM	65536	28421.600	25091.000	88.3	1.757922	1.991565	1.13	complete (reused baseline)	complete	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_083904_c0180-node-multi-tcp-stream.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_020628_c0180-rust-multi-tcp-stream.txt	c0180-rust-multi-tcp-stream
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	64	301809.600	87540.600	29.0	0.651623	1.126963	1.73	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	256	281990.600	85879.000	30.5	0.680422	1.140478	1.68	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	1024	261123.800	84181.200	32.2	0.750688	1.144061	1.52	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	4096	201907.000	82386.200	40.8	1.146275	1.262285	1.10	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	65536	31056.800	39135.600	126.0	1.950348	2.398075	1.23	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_DEALER_ROUTER_REQREP	131072	16491.400	24392.000	147.9	3.489925	3.990100	1.14	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	64	249751.200	77638.000	31.1	0.680302	1.113255	1.64	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	256	173965.600	71610.400	41.2	0.856424	1.241218	1.45	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	1024	170178.000	70712.200	41.6	0.947668	1.271921	1.34	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	4096	135156.800	68312.600	50.5	1.379559	1.362690	0.99	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	65536	23688.800	29942.000	126.4	2.466529	3.100940	1.26	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	tcp	MULTI_ROUTER_ROUTER_REQREP	131072	15645.800	22716.200	145.2	3.202459	4.258609	1.33	complete (reused baseline)	complete (remeasured failed cell)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_210829_c0180-multi-reqrep-tcp.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_023849_c0180-rust-multi-tcp-reqrep.txt	c0180-rust-multi-tcp-reqrep
rust	multi	ws	MULTI_DEALER_DEALER	64	1515604.000	1288810.400	85.0	21.804207	0.491832	0.02	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_085832_c0180-node-multi-ws.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015707_c0180-rust-multi-ws.txt	c0180-rust-multi-ws
rust	multi	ws	MULTI_DEALER_DEALER	256	1084684.400	1035397.600	95.5	2.657229	0.998211	0.38	complete (reused baseline)	partial (report; other cells failed)	bindings/c/perf/results/multi/report/perf_c_multi_linux_20260911_085832_c0180-node-multi-ws.txt	bindings/rust/perf/results/multi/report/perf_rust_multi_linux_20260912_015707_c0180-rust-multi-ws.txt	c0180-rust-multi-ws
