lang	suite	transport	pattern	size	c_tput_ops	bind_tput_ops	tput_ratio_pct	c_lat_ms	bind_lat_ms	lat_ratio	c_status	bind_status	c_report	bind_report	pair_tag
rust	single	tcp	PAIR	64	2366247.200	1734890.800	73.3	1.363273	0.114200	0.08	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PAIR	256	1266561.400	1382326.600	109.1	1.822170	1.594825	0.88	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PAIR	1024	649821.800	875700.200	134.8	1.135589	0.942161	0.83	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PAIR	65536	41339.000	62594.400	151.4	0.326957	0.323693	0.99	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PAIR	131072	26627.800	30290.400	113.8	0.259109	0.268157	1.03	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PAIR	262144	16042.800	19030.400	118.6	0.235897	0.200201	0.85	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PUBSUB	64	1666371.400	1289913.200	77.4	1.275500	0.227981	0.18	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PUBSUB	256	1143518.000	823099.200	72.0	1.241952	2.917385	2.35	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PUBSUB	1024	652960.600	788017.000	120.7	0.685200	1.274976	1.86	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
rust	single	tcp	PUBSUB	65536	12588.000	58672.600	466.1	0.231601	2.419716	10.45	complete (reused baseline)	complete	bindings/c/perf/results/single/report/perf_c_single_linux_20260911_023715_c0180-node-single-tcp.txt	bindings/rust/perf/results/single/report/perf_rust_single_linux_20260912_013135_c0180-rust-single-tcp.txt	c0180-rust-single-tcp
